date,open,high,low,close,volume,ticker,avg_sentiment,num_articles,sentiment_ma3,sentiment_lag1,log_article_count,sentiment_volatility,sentiment_close_corr
2023-05-10,173.02,174.03,171.9,173.555,53724501,AAPL,0.0,0.0,,,0.0,,
2023-05-11,173.85,174.59,172.17,173.75,49514676,AAPL,0.0,0.0,,0.0,0.0,,
2023-05-12,173.62,174.06,171.0,172.57,45533138,AAPL,0.0,0.0,0.0,0.0,0.0,,
2023-05-15,173.16,173.21,171.47,172.07,37266659,AAPL,0.0,0.0,0.0,0.0,0.0,,
2023-05-16,171.99,173.1383,171.7991,172.07,42110293,AAPL,0.0,0.0,0.0,0.0,0.0,,
2023-05-17,171.71,172.925,170.4201,172.69,57951604,AAPL,0.0,0.0,0.0,0.0,0.0,,
2023-05-18,173.0,175.24,172.58,175.05,65496657,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-19,176.39,176.39,174.94,175.16,55809475,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-22,173.98,174.71,173.45,174.2,43570932,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-23,173.13,173.3794,171.275,171.56,50747263,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-24,171.09,172.4183,170.52,171.84,45143488,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-25,172.41,173.895,171.69,172.99,56058258,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-26,173.32,175.77,173.11,175.43,54834975,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-30,176.96,178.99,176.57,177.3,55964401,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-05-31,177.325,179.35,176.76,177.25,99313268,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-01,177.7,180.12,176.9306,180.09,68901809,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-02,181.03,181.78,179.26,180.95,61996913,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-05,182.63,184.951,178.035,179.58,121946497,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-06,179.965,180.12,177.43,179.21,64848374,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-07,178.44,181.21,177.32,177.82,61944615,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-08,177.895,180.84,177.46,180.57,50214881,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-09,181.5,182.23,180.63,180.96,48899973,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-12,181.27,183.89,180.97,183.79,54754995,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-13,182.8,184.15,182.44,183.31,54929129,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-14,183.37,184.39,182.02,183.95,57462882,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-15,183.96,186.52,183.78,186.01,65433166,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-16,186.73,186.99,184.27,184.92,101256225,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-20,184.41,186.1,184.41,185.01,49799092,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-21,184.9,185.41,182.5901,183.96,49515697,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-22,183.74,187.045,183.67,187.0,51245327,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-23,185.55,187.56,185.01,186.68,53116996,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
2023-06-26,186.83,188.05,185.23,185.27,48088661,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,
